origin,destination,search_date,depart_date,price
NYC,LHR,2025-10-01,2025-11-13,131
NYC,LHR,2025-10-01,2025-11-18,164
NYC,LHR,2025-10-01,2025-10-09,169
NYC,LHR,2025-10-01,2025-10-16,169
NYC,LHR,2025-10-01,2025-11-24,171
NYC,LHR,2025-10-01,2025-10-21,176
NYC,LHR,2025-10-01,2025-11-20,177
NYC,LHR,2025-10-01,2025-10-14,179
NYC,LHR,2025-10-01,2025-10-22,181
NYC,LHR,2025-10-01,2025-10-17,181
NYC,LHR,2025-10-01,2025-11-11,181
NYC,LHR,2025-10-01,2025-11-19,181
NYC,LHR,2025-10-01,2025-11-14,183
NYC,LHR,2025-10-01,2025-11-10,183
NYC,LHR,2025-10-01,2025-11-12,184
NYC,DXB,2025-10-01,2025-11-11,256
NYC,DXB,2025-10-01,2025-10-12,256
NYC,DXB,2025-10-01,2025-10-09,272
NYC,DXB,2025-10-01,2025-10-08,272
NYC,DXB,2025-10-01,2025-10-15,302
NYC,DXB,2025-10-01,2025-10-23,309
NYC,DXB,2025-10-01,2025-11-24,311
NYC,DXB,2025-10-01,2025-11-14,319
NYC,DXB,2025-10-01,2025-11-10,326
NYC,TYO,2025-10-01,2025-10-29,341
NYC,TYO,2025-10-01,2025-10-27,375
NYC,TYO,2025-10-01,2025-11-12,391
NYC,TYO,2025-10-01,2025-10-22,392
NYC,TYO,2025-10-01,2025-12-08,405
NYC,TYO,2025-10-01,2025-10-23,409
NYC,TYO,2025-10-01,2025-10-21,412
NYC,TYO,2025-10-01,2025-10-30,420
NYC,SIN,2025-10-01,2025-10-07,398
NYC,SIN,2025-10-01,2025-10-08,409
NYC,SIN,2025-10-01,2025-10-12,427
NYC,SIN,2025-10-01,2025-11-16,440
NYC,SIN,2025-10-01,2025-10-15,448
NYC,SIN,2025-10-01,2025-11-12,448
NYC,SIN,2025-10-01,2025-11-14,451
NYC,SIN,2025-10-01,2025-11-13,452
NYC,SIN,2025-10-01,2025-11-07,456
NYC,SIN,2025-10-01,2025-11-03,458
NYC,CDG,2025-10-01,2025-10-20,141
NYC,CDG,2025-10-01,2025-10-14,145
NYC,CDG,2025-10-01,2025-10-12,149
NYC,CDG,2025-10-01,2025-10-15,150
NYC,CDG,2025-10-01,2025-10-21,163
NYC,CDG,2025-10-01,2025-10-13,167
NYC,CDG,2025-10-01,2025-10-07,170
NYC,CDG,2025-10-01,2025-10-17,172
NYC,CDG,2025-10-01,2025-10-10,179
NYC,CDG,2025-10-01,2025-10-19,180
NYC,LAX,2025-10-01,2025-10-29,49
NYC,LAX,2025-10-01,2025-10-21,69
NYC,LAX,2025-10-01,2025-11-04,75
NYC,LAX,2025-10-01,2025-11-18,75
NYC,LAX,2025-10-01,2025-11-08,76
NYC,LAX,2025-10-01,2025-10-28,76
NYC,LAX,2025-10-01,2025-11-05,76
NYC,LAX,2025-10-01,2025-10-25,77
NYC,LAX,2025-10-01,2025-10-22,79
NYC,LAX,2025-10-01,2025-10-31,82
NYC,LAX,2025-10-01,2025-11-22,90
NYC,LAX,2025-10-01,2025-10-16,93
NYC,LAX,2025-10-01,2025-12-13,94
NYC,LAX,2025-10-01,2025-10-23,94
NYC,HND,2025-10-01,2025-10-29,431
NYC,HND,2025-10-01,2025-10-27,485
NYC,SYD,2025-10-01,2025-11-01,587
NYC,SYD,2025-10-01,2025-10-28,610
NYC,SYD,2025-10-01,2025-11-08,652
NYC,SYD,2025-10-01,2025-10-27,673
NYC,SYD,2025-10-01,2025-10-17,724
NYC,SYD,2025-10-01,2025-11-13,729
NYC,SYD,2025-10-01,2025-10-12,800
NYC,MIA,2025-10-01,2025-10-21,31
NYC,MIA,2025-10-01,2025-10-22,32
NYC,MIA,2025-10-01,2025-11-04,32
NYC,MIA,2025-10-01,2025-10-29,33
NYC,MIA,2025-10-01,2025-10-19,35
NYC,MIA,2025-10-01,2025-11-18,37
NYC,MIA,2025-10-01,2025-10-15,38
NYC,MIA,2025-10-01,2025-11-12,38
NYC,MIA,2025-10-01,2025-12-16,38
NYC,MIA,2025-10-01,2025-12-17,38
NYC,MIA,2025-10-01,2025-10-14,39
NYC,MIA,2025-10-01,2025-11-05,39
NYC,MIA,2025-10-01,2025-11-19,41
NYC,MIA,2025-10-01,2025-10-18,46
NYC,MIA,2025-10-01,2025-10-20,46
