origin,destination,search_date,depart_date,price
NYC,LHR,2025-08-05,2025-10-19,161
NYC,LHR,2025-08-05,2025-09-07,172
NYC,LHR,2025-08-05,2025-10-10,175
NYC,LHR,2025-08-05,2025-10-14,177
NYC,LHR,2025-08-05,2025-09-08,178
NYC,LHR,2025-08-05,2025-09-30,178
NYC,LHR,2025-08-05,2025-09-24,179
NYC,LHR,2025-08-05,2025-09-16,180
NYC,LHR,2025-08-05,2025-10-06,181
NYC,DXB,2025-08-05,2025-09-21,253
NYC,DXB,2025-08-05,2025-10-12,274
NYC,DXB,2025-08-05,2025-10-07,274
NYC,DXB,2025-08-05,2025-09-20,275
NYC,DXB,2025-08-05,2025-10-06,277
NYC,DXB,2025-08-05,2025-09-30,279
NYC,DXB,2025-08-05,2025-09-02,283
NYC,DXB,2025-08-05,2025-10-21,283
NYC,DXB,2025-08-05,2025-09-01,286
NYC,DXB,2025-08-05,2025-09-05,296
NYC,DXB,2025-08-05,2025-09-17,296
NYC,DXB,2025-08-05,2025-10-28,296
NYC,TYO,2025-08-05,2025-08-23,405
NYC,TYO,2025-08-05,2025-09-03,406
NYC,TYO,2025-08-05,2025-08-22,409
NYC,TYO,2025-08-05,2025-08-30,420
NYC,TYO,2025-08-05,2025-09-24,426
NYC,TYO,2025-08-05,2025-10-25,426
NYC,TYO,2025-08-05,2025-09-10,427
NYC,TYO,2025-08-05,2025-09-06,429
NYC,TYO,2025-08-05,2025-09-04,432
NYC,TYO,2025-08-05,2025-08-21,437
NYC,TYO,2025-08-05,2025-09-18,438
NYC,TYO,2025-08-05,2025-10-17,442
NYC,SIN,2025-08-05,2025-11-04,311
NYC,SIN,2025-08-05,2025-11-03,318
NYC,SIN,2025-08-05,2025-11-02,332
NYC,SIN,2025-08-05,2025-11-01,360
NYC,SIN,2025-08-05,2025-09-08,380
NYC,SIN,2025-08-05,2025-08-18,386
NYC,SIN,2025-08-05,2025-10-16,400
NYC,SIN,2025-08-05,2025-08-27,400
NYC,SIN,2025-08-05,2025-08-13,400
NYC,SIN,2025-08-05,2025-09-14,402
NYC,CDG,2025-08-05,2025-09-30,145
NYC,CDG,2025-08-05,2025-09-09,145
NYC,CDG,2025-08-05,2025-08-12,155
NYC,CDG,2025-08-05,2025-10-01,163
NYC,CDG,2025-08-05,2025-08-08,166
NYC,CDG,2025-08-05,2025-08-11,166
NYC,CDG,2025-08-05,2025-08-07,167
NYC,CDG,2025-08-05,2025-08-06,168
NYC,CDG,2025-08-05,2025-10-12,168
NYC,CDG,2025-08-05,2025-08-10,168
NYC,CDG,2025-08-05,2025-09-21,169
NYC,CDG,2025-08-05,2025-10-15,171
NYC,CDG,2025-08-05,2025-09-10,174
NYC,CDG,2025-08-05,2025-09-13,176
NYC,CDG,2025-08-05,2025-09-24,179
NYC,CDG,2025-08-05,2025-08-17,179
NYC,CDG,2025-08-05,2025-09-05,179
NYC,CDG,2025-08-05,2025-08-13,179
NYC,CDG,2025-08-05,2025-08-14,180
NYC,CDG,2025-08-05,2025-09-26,180
NYC,CDG,2025-08-05,2025-09-01,181
NYC,CDG,2025-08-05,2025-09-07,181
NYC,CDG,2025-08-05,2025-09-14,187
NYC,LAX,2025-08-05,2025-09-03,53
NYC,LAX,2025-08-05,2025-09-10,57
NYC,LAX,2025-08-05,2025-09-09,66
NYC,LAX,2025-08-05,2025-09-06,73
NYC,LAX,2025-08-05,2025-10-06,85
NYC,LAX,2025-08-05,2025-08-23,90
NYC,LAX,2025-08-05,2025-10-14,95
NYC,LAX,2025-08-05,2025-10-20,99
NYC,LAX,2025-08-05,2025-08-21,100
NYC,LAX,2025-08-05,2025-09-02,100
NYC,LAX,2025-08-05,2025-11-05,100
NYC,LAX,2025-08-05,2025-10-23,100
NYC,LAX,2025-08-05,2025-09-17,100
NYC,LAX,2025-08-05,2025-10-11,100
NYC,LAX,2025-08-05,2025-09-04,103
NYC,LAX,2025-08-05,2025-10-27,103
NYC,HND,2025-08-05,2025-09-18,477
NYC,HND,2025-08-05,2025-09-04,477
NYC,HND,2025-08-05,2025-08-06,480
NYC,HND,2025-08-05,2025-08-29,481
NYC,HND,2025-08-05,2025-08-07,485
NYC,HND,2025-08-05,2025-09-24,487
NYC,HND,2025-08-05,2025-10-07,492
NYC,HND,2025-08-05,2025-09-10,501
NYC,HND,2025-08-05,2025-09-03,502
NYC,HND,2025-08-05,2025-08-30,506
NYC,HND,2025-08-05,2025-09-06,507
NYC,SYD,2025-08-05,2025-09-11,490
NYC,SYD,2025-08-05,2025-09-12,490
NYC,SYD,2025-08-05,2025-09-27,492
NYC,SYD,2025-08-05,2025-09-10,504
NYC,SYD,2025-08-05,2025-08-20,516
NYC,SYD,2025-08-05,2025-08-19,523
NYC,SYD,2025-08-05,2025-08-26,528
NYC,SYD,2025-08-05,2025-09-05,537
NYC,SYD,2025-08-05,2025-11-10,540
NYC,MIA,2025-08-05,2025-10-03,39
NYC,MIA,2025-08-05,2025-09-03,46
NYC,MIA,2025-08-05,2025-09-10,46
NYC,MIA,2025-08-05,2025-09-06,46
NYC,MIA,2025-08-05,2025-08-23,46
NYC,MIA,2025-08-05,2025-09-02,46
NYC,MIA,2025-08-05,2025-08-20,46
NYC,MIA,2025-08-05,2025-08-30,46
NYC,MIA,2025-08-05,2025-08-27,46
NYC,MIA,2025-08-05,2025-08-19,47
NYC,MIA,2025-08-05,2025-10-31,48
NYC,MIA,2025-08-05,2025-09-05,54
NYC,MIA,2025-08-05,2025-08-29,54
NYC,MIA,2025-08-05,2025-09-20,54
NYC,MIA,2025-08-05,2025-11-07,55
NYC,MIA,2025-08-05,2025-10-25,55
NYC,MIA,2025-08-05,2025-09-16,56
NYC,MIA,2025-08-05,2025-09-13,56
LHR,NYC,2025-08-05,2025-09-18,315
LHR,NYC,2025-08-05,2025-10-02,317
LHR,NYC,2025-08-05,2025-09-05,317
LHR,NYC,2025-08-05,2025-09-23,334
LHR,NYC,2025-08-05,2025-09-09,334
LHR,NYC,2025-08-05,2025-09-24,335
LHR,NYC,2025-08-05,2025-11-10,335
LHR,NYC,2025-08-05,2025-09-17,336
LHR,NYC,2025-08-05,2025-09-25,336
LHR,NYC,2025-08-05,2025-09-15,336
LHR,NYC,2025-08-05,2025-09-11,336
LHR,NYC,2025-08-05,2025-09-10,339
LHR,NYC,2025-08-05,2025-09-16,340
LHR,NYC,2025-08-05,2025-09-08,344
LHR,NYC,2025-08-05,2025-09-14,347
LHR,NYC,2025-08-05,2025-09-03,351
LHR,DXB,2025-08-05,2025-09-24,163
